{'-data': 'mnist', '-dim': 32, '-n_cols': 28, '-n_rows': 28, '-nlayers': 10, '-saving': 'convhighway_mnist_dim32_shared0', '-inpShape': [28, 28], '-shared': 0}
epoch	loss	vloss	vacc
0	1.1855	0.1700	0.9498
1	0.2589	0.0998	0.9726
2	0.1735	0.0712	0.9798
3	0.1428	0.0610	0.9818
4	0.1209	0.0558	0.9820
5	0.1083	0.0531	0.9852
6	0.1009	0.0497	0.9844
7	0.0908	0.0468	0.9872
8	0.0863	0.0434	0.9877
9	0.0805	0.0416	0.9869
10	0.0802	0.0419	0.9885
11	0.0749	0.0349	0.9896
12	0.0705	0.0353	0.9904
13	0.0668	0.0381	0.9900
14	0.0638	0.0357	0.9897
15	0.0638	0.0350	0.9905
16	0.0613	0.0312	0.9915
17	0.0561	0.0312	0.9918
18	0.0577	0.0302	0.9917
19	0.0534	0.0306	0.9915
Result on test set: loss: 0.0248, result: 0.9916
training time: 2229.84
